radionuclide,best_key_nuclide_sf,p25_Bi-207,p50_Bi-207,p75_Bi-207,corr_Bi-207,p25_Co-60,p50_Co-60,p75_Co-60,corr_Co-60,linreg_intercept_sf,linreg_coef_Bi-207,linreg_coef_Co-60,linreg_adj_R2_sf,logreg_const_sf,logreg_power_Bi-207,logreg_power_Co-60,logreg_adj_R2_sf,p25_DR_10cm,p50_DR_10cm,p75_DR_10cm,corr_DR_10cm,p25_DR_40cm,p50_DR_40cm,p75_DR_40cm,corr_DR_40cm,p25_bgo_10cm,p50_bgo_10cm,p75_bgo_10cm,corr_bgo_10cm,p25_bgo_40cm,p50_bgo_40cm,p75_bgo_40cm,corr_bgo_40cm,logreg_const_DR_10cm,logreg_power_DR_10cm,logreg_const_DR_40cm,logreg_power_DR_40cm,logreg_adj_R2_DR,logreg_const_bgo_10cm,logreg_power_bgo_10cm,logreg_const_bgo_40cm,logreg_power_bgo_40cm,logreg_adj_R2_bgo
Ag-108m,Co-60,0.0027576915953788413,0.005219599053511841,0.006777660641433741,0.75124235578557,4.529422780043049e-06,1.0909375130000329e-05,2.1849245298526138e-05,0.9168446001779043,-0.0005167685630032902,-4.278124229075718e-05,4.6794278065707205e-05,0.8502913538992731,0.0005306935454093123,0.591227752227354,0.23755139656473132,0.5635475970897323,6.964678463776468e-06,1.6780763260875796e-05,3.361088925254114e-05,0.9683006356640974,1.9368429655869824e-05,4.6753294418975695e-05,9.344397689923748e-05,0.9684100808289107,2.540934409799017e-08,6.334012544775984e-08,1.479446717433695e-07,0.922971240156712,7.060050878149485e-08,1.7638311366447573e-07,4.12161230975948e-07,0.9234277591236603,1.6246434145987217e-05,0.9330616160267943,4.218548115469132e-05,0.9333717690806618,0.4148854037107197,8.431440338257991e-07,0.6665329356452911,1.6675025826704945e-06,0.6665417467488179,0.24200422252778186
Ag-110m,Co-60,0.0358125432695264,0.09123373107984323,0.19423525425779842,0.004347914968418388,8.054780807167622e-05,0.00020402631375057224,0.0004427689390747086,0.16700877296213418,0.009834087596689092,-0.0032421103724798723,0.0007571665273582278,0.11079517574957554,0.0013186894373776773,0.1429420211125406,0.469574336231231,0.21883928492700344,0.0001426052831174975,0.00030253737681789294,0.0005957544748105316,0.515136121496354,0.00039697434989987505,0.0008405188603371325,0.0016583007681079658,0.5133576741393168,6.10552045942023e-07,1.2361455810072984e-06,2.348833282626366e-06,0.6702785076121164,1.6966843568222947e-06,3.4455345374303433e-06,6.539069738218224e-06,0.6685276252810971,0.000494602303020793,0.7516973409976431,0.0010681984252251266,0.7512071777734083,0.3252903278932032,1.1440323025082003e-05,0.7050934852224043,2.362695359909263e-05,0.7045687740979028,0.3273155741906977
Al-26,Co-60,0.00022445134624939154,0.0010347289457327848,0.0022629415341758274,0.9413486954044521,5.063733625157439e-07,2.034497010541004e-06,5.0902352770887885e-06,0.9471948033080199,-0.002583332750191575,0.0002785345628182788,6.166408602818596e-05,0.9526554720462529,0.0005183791581521,0.8412402569853465,-0.1262440050789775,0.3410531720452903,8.485299243239658e-07,2.990397126405085e-06,8.194831371661008e-06,0.8236225303003888,2.3610869445891235e-06,8.326256700701853e-06,2.2768528775646942e-05,0.8247554578636387,2.76069645427948e-09,1.2018982882232461e-08,3.612098581682962e-08,0.678483893922307,7.699965924760342e-09,3.3396325674354095e-08,1.0044139017650157e-07,0.679992363900639,3.213216731393486e-06,0.8408353240064609,7.5895200093229e-06,0.8413511182486356,0.16026262446271344,2.671656708792819e-07,0.5788603447190942,4.823778506312024e-07,0.5790609593633131,0.08639759479542075
Ar-39,Co-60,0.9971418310477516,1.261803656291661,1.5192127563184181,0.4221222006660085,0.0015083192874649552,0.0025911716897375507,0.00462316551879354,0.6662374560494668,0.04011872000616533,-0.019695360694466858,0.007469266877057456,0.5491243017270975,0.13991482447299644,0.5662182661747298,0.26048506284369227,0.7488390469784094,0.0026346480988428934,0.003923544903197507,0.006663532332565203,0.8156474492448337,0.007311523482854021,0.010927250872643134,0.018523983388516404,0.8149996559630032,8.588786645878851e-06,1.5243468370376838e-05,3.136117447577948e-05,0.854699722039075,2.3912605871689462e-05,4.2371953032555235e-05,8.71599072486166e-05,0.8543223039782203,0.004457407924430859,0.9713888337848282,0.012042162312519429,0.9714453973346104,0.6212278075269848,0.0001626077043745149,0.721984723555551,0.00034089025268597956,0.7217802897874696,0.3923647386077589
Ar-42,Co-60,0.12366296966703527,0.15153765587681806,0.18389075767937463,0.14972830809215254,0.00017496209579215648,0.0003065441988843735,0.0005621483253794728,0.40833015931151856,0.011464454213979961,-0.003718770898316491,0.001011858388422856,0.34430217892435155,0.012446067280144022,0.5090666098871544,0.3063365579005902,0.6481152670449607,0.0002985720145629509,0.00047976603827908635,0.0008249420718348744,0.6218444463572845,0.0008324057774242096,0.0013339275213828257,0.0022925176833054374,0.6207028777494912,1.0026392522055497e-06,1.8216463161683109e-06,3.6851168170912703e-06,0.7182383540227583,2.7926668973918883e-06,5.078517724952847e-06,1.0237451303369411e-05,0.7172707387130538,0.0005697884986009392,0.9510940919760237,0.00150778781348582,0.9511192167007712,0.5694676454369008,2.2032364721914445e-05,0.7082310060857095,4.5550094207844165e-05,0.7080053028267849,0.36102056694852414
Au-195,Co-60,1.3447522558404976,3.751393826581826,7.998884065684349,0.0046267593329911835,0.0027705952796675502,0.00772399490686956,0.016507711159428846,0.15962734203130022,0.5812527120901734,-0.2917016483799619,0.06818276662710182,0.10063748251304205,0.04585055532956749,0.18880330244980917,0.538974436756757,0.273548091844232,0.005107361753061197,0.0123824066912777,0.022686486767009746,0.5077177887406987,0.014181956378573031,0.03444464764137771,0.06318329609253089,0.5059472658805998,2.0838889928023732e-05,5.101967454464961e-05,8.879396379550504e-05,0.6616264361136254,5.789499246509561e-05,0.0001420409314944526,0.0002469012589332136,0.6598772821952061,0.011987670885207509,0.9162633564055632,0.030648044049427253,0.9155779930815913,0.4178579716019325,9.831695916187456e-05,0.885250887922056,0.00024445579014948743,0.8845521343161227,0.4460929657142596
Ba-133,Co-60,0.1846900955061393,0.22937857111980448,0.35582430867441556,0.05131081065323084,0.00026243352939999586,0.0004479693190252719,0.0009686284946544624,0.29670421234812544,0.045834339407252914,-0.0251028459367942,0.006164255885052367,0.26739894026804556,0.04989847678260078,0.7193482388973297,0.24657058499119047,0.6671821811110991,0.00041806633407507406,0.000706105373446916,0.001318937943466725,0.5809540485938907,0.0011609900317372853,0.001963896775320987,0.003668117160891625,0.5794246419263626,1.519844900705817e-06,2.8176887236035398e-06,5.958833289696054e-06,0.7157917535789775,4.224938870258531e-06,7.828183426536018e-06,1.6574109314463407e-05,0.7143817186024931,0.0005679131981169347,1.172750052479892,0.0018856766391299115,1.172693426962923,0.5503161427473776,1.043354610002998e-05,0.8716002417530386,2.5519111536969457e-05,0.8712441942257263,0.3475283530941087
Be-10,Co-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bi-207,Bi-207,1.0,1.0,1.0,1.0,0.001292143951879643,0.0021708990568425767,0.003980357115353089,0.8721330632237108,-6.217248937900877e-15,0.9999999999999993,-8.326672684688674e-17,1.0,0.9999999999999988,1.0000000000000004,-2.5153490401663703e-16,1.0,0.002152390343845458,0.0033558018205798014,0.005378930694442982,0.7748617212596532,0.005989558479471081,0.009328334515061452,0.01495427404445092,0.7758278135942788,7.319063161711781e-06,1.2994390793095664e-05,2.49773386995399e-05,0.6367478715955018,2.044330619079283e-05,3.614641439507609e-05,6.952151959077617e-05,0.6380691207943654,0.0019227044304409246,1.2469047227401786,0.006885338719912921,1.2470192915212468,0.6453287531837593,2.5187645989197672e-05,0.9370999617003943,6.581091432378393e-05,0.9368813099862554,0.41674138631432833
Bi-208,Co-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
