identifier,counting,library_id,counting_time_s,characterization,volume_m3,mass_t,density_g_cm3,filling,total_activity_Bq_g,true_total_activity_Bq_g,LL,true_LL,IRAS,true_IRAS,bgo_10cm_c_s,true_bgo_10cm_c_s,bgo_40cm_c_s,true_bgo_40cm_c_s,DR_10cm_uSv_h,true_DR_10cm_uSv_h,DR_40cm_uSv_h,true_DR_40cm_uSv_h,Ag-108m,Ag-110m,Al-26,Ar-39,Ar-42,Au-195,Ba-133,Be-10,Bi-207,Bi-208,C-14,Ca-41,Ca-45,Cd-109,Cd-113m,Ce-144,Cl-36,Co-57,Co-58,Co-60,Cs-134,Cs-137,Eu-150,Eu-152,Eu-154,Fe-55,Gd-148,Gd-153,Ge-68,H-3,Hf-172,Hf-178n,Hg-194,Ho-163,Kr-85,Lu-173,Lu-174,Mn-54,Mo-93,Na-22,Nb-91,Nb-93m,Nb-94,Ni-59,Ni-63,Os-194,Pb-202,Pm-143,Pm-144,Pm-145,Pm-146,Pm-147,Po-208,Po-209,Pt-193,Rh-101,Rh-102,Rh-102m,Ru-106,S-35,Sb-124,Sb-125,Si-32,Sm-145,Sn-119m,Sn-121m,Sr-90,Ta-179,Tb-157,Tc-99,Ti-44,Tl-204,V-49,Zn-65
0,5,sherpa_2025_a,900.0,hot_p75_sf,1.0,2.0,2.0,0.7582825066199426,413.930999934068,225.53535503406368,835.9852811658483,497.4929875059901,8.659508081356718,5.0407819695466,5536.646083895973,3198.228425172556,1987.4897137915675,1148.0679821444207,20.192658505660745,11.664233804007754,7.248558146210124,4.1871097327594455,0.0005556820994757746,0.010731423532724585,0.00014026644064579066,0.12871435138093315,0.015538592432615614,0.3980711988658551,0.02684807586011348,0.0,0.0644890852873659,0.0,0.014422783986744401,0.0006815154804727407,0.13192113597197974,0.008050342333230542,0.00843687858401686,0.0,0.003443155124265935,12.842444848972509,0.709219391844935,24.96079532205632,0.0017036076084027854,1.2214049766647763e-05,0.0006045553553518529,1.4234322842028422,0.5393819247166943,203.58551172864503,0.017030164111702748,0.012934922387681862,0.003322048520229214,86.36558596193092,0.24005347787342346,0.001158371337503649,0.06787885210171185,0.00037272983033424285,0.027393191225568034,0.1476850288817587,0.0017854594483110065,36.10635891055493,0.005565881150928912,6.754097223909456,0.0232467886112293,0.2287700691497196,0.001078752756436186,0.01530383038059,5.6104074601064315,0.0022914600862947907,0.0028701180201954756,0.01458034246128874,0.0005413615075159442,0.046330959555595644,0.00046432274726372543,0.00048087657269024574,0.00032417827703516965,0.0,1.5956071259893598,0.010940552052787076,0.01198116164088612,0.0020225061406526764,0.020516419569424207,0.16936226935043225,0.0009765963735037396,0.003965692393733766,0.015479144917266959,0.030849752325895104,0.0038928908049855487,0.0008673597234075904,0.03431377225856573,0.4378078698573769,0.013218178859128342,0.00013752786033261092,0.253854831429903,2.0816822090964155,17.06454984255564,11.605911122539457
1,1,sherpa_2025_a,900.0,hot_p75_sf,1.0,2.0,2.0,0.6959494820340817,397.1335871201506,801.5991454995368,574.1742652541784,448.9559503836854,6.105019615863232,5.197360828940727,1459.3588842833738,1139.4136747493242,524.5054759619205,409.51456028267097,17.644758704968364,13.776377813991692,6.341670073381079,4.951342456045153,0.0005884883551084277,0.011364983303768065,0.00014854746447731104,0.1363133651317407,0.01645595694012252,0.4215724516906445,0.5945515481293348,0.0,0.6322502054332615,0.0,0.015274273604369379,0.0007217506636666774,0.13970947127039876,0.008525616934956027,0.008934973440464507,0.0,0.003646431471112649,2.4264668539052257,0.044565174871004,26.434426077666814,0.0018041848750660803,1.2935140547388419e-05,0.00064024698110419,1.5074686125916523,0.5712258536872006,215.60475501032573,0.018035587748421702,0.013698571911103874,0.0035181749980868434,91.46442123771885,0.6468060352840874,0.0012267590474038484,0.07188627104898512,0.00039473498419361,0.029010425314605508,0.2983054731257926,0.0018908690685566201,11.854081001073624,0.005894478599057254,11.915248323762246,0.02461922815991677,0.24227615361187096,0.0011424399594709086,0.016207335050072852,5.941633644130054,0.0024267428773617097,0.003039563509901271,0.015441133986601347,0.0005733223067247025,0.04906623806163513,0.00049173534658474,0.0005092664736539676,0.0003433170533912946,0.0,1.6898082804153751,0.0758530640347871,0.054902347827926,0.0021419104790890904,0.021727664102397758,0.1793610472633399,0.0010342524871509318,0.004199818197951739,0.01639299977350546,0.03267105422128119,0.004122718562652823,0.0009185667441815558,0.036339582313446264,0.4636550888159833,0.013998551225018455,0.00014564720437291708,2.0448281017351486,2.2045801731697394,18.072003537607472,1.0112916358796653
2,5,sherpa_2025_a,900.0,hot_p75_sf,1.0,2.0,2.0,0.7544570977315491,429.6830594579724,318.52725388345834,1081.0230715781806,792.3487832110727,11.132343935020653,7.947437222237955,9003.19770367306,6515.76218558571,3227.0894038762376,2335.4976530952663,25.815244265467783,18.68291666281746,9.253168037571855,6.6966698255980495,0.0005337184222234649,0.0274892163730871,0.00013472232318262103,0.12362683736142774,0.014924419995772467,0.3823371895400593,0.0415860815252489,0.0,0.084424540304431,0.0,0.013852714566002794,0.0006545781613298761,0.126706871816305,0.007732147593928183,0.008103405761316462,0.0,0.003307062297179447,14.713651482409556,2.056111396600036,23.97420451243369,0.0016362714683492597,1.1731281926417927e-05,0.0005806599325577227,1.3671702464113724,0.5180625219117754,195.53866897975564,0.0163570363855151,0.012423661613086575,0.0031907425062624845,82.95193298019193,0.6311956872837737,0.0011125859968938682,0.06519589866263988,0.00035799745420859015,0.026310458469632987,0.6374027040261468,0.0017148880638687414,63.70216085817182,0.005345886270152577,15.43463659925698,0.022327944972588807,0.21972779125641834,0.001036114389283895,0.014698937058454067,5.3886526495340235,0.002200888714966817,0.002756674837607659,0.1072133276705315,0.0005199638604815674,0.04449969984176123,0.0004459701046800842,0.00046186962996034794,0.0003113649309588296,0.0,1.5325397715257605,0.01050811999410424,0.011507598847273677,0.00194256533968749,0.019705495448922732,0.16266812133623335,0.0009379958003097361,0.003808945959216479,0.014867322180084467,0.029630396863412387,0.0037390218981054302,0.0008330767960925861,0.032957499274592725,0.42050324413497164,0.012695722198028257,0.00013209198694313912,0.2460529253725996,1.9994024375766886,16.39006299917625,0.4888616168621217
3,4,sherpa_2025_a,900.0,hot_p75_sf,1.0,2.0,2.0,0.7281855175795653,711.2172049824605,285.58699274981404,1160.0877327817436,538.1071393620211,12.158258691455435,5.58033454031732,7414.494201232285,3546.969146534252,2663.4764669097995,1274.162281909801,30.37166257933505,14.529291840291146,10.91028010077064,5.219294242761481,0.001011056516374304,0.019525688703972303,0.0002552130057407739,0.23419412616917992,0.02827227141040085,0.7242854862050498,0.04884973274483315,0.0,0.0681047978563528,0.0,0.02624207212687551,0.001240008753551668,0.2400288299691495,0.014647495542388799,0.015350793337191053,0.0,0.006264776980508829,18.07788869023177,0.0741747154148286,45.41584979623858,0.0030996923878696416,2.2223308290008424e-05,0.0010999807841823798,2.589916946971198,0.9813985556018489,370.4212506878089,0.03098616712020166,0.023534926860518314,0.00604442505392562,157.14108581088487,0.4367742515211624,0.0021076419238070868,0.12350470854862464,0.0006781771882917277,0.04984156322297619,0.2989487768458787,0.003248620770112844,54.91889082958666,0.010127050002727178,8.84987125158287,0.042297236373697526,0.41624423277883144,0.001962776927636297,0.02784512484094716,10.208065056273979,0.004169282498834526,0.005222143253884788,0.02652874776848486,0.0009850003813413717,0.08429859196967253,0.0008448293363502074,0.0008749488112877579,0.0005898382542331503,0.0,2.90318688297993,0.019906195387862907,0.021799571305571388,0.003679924213580108,0.037329364609557575,0.30815249621363716,0.0017769046874642322,0.007215526900008293,0.028164107411898433,0.05613073220651653,0.007083065334707329,0.001578149991189503,0.062433472440692105,0.7965858539565062,0.024050308409665447,0.00025023019367274645,0.3206275176014416,3.7875943178895635,31.04873152039001,0.072383191686093
4,2,sherpa_2025_a,900.0,hot_p75_sf,1.0,2.0,2.0,0.7045570222816262,646.4527300043271,308.8763128688835,1011.4430649804004,830.2977625988777,10.59629580963046,7.9457281029475375,8359.113282638751,6487.700218312343,3003.35823175073,2330.9754512201707,26.983210777055067,20.942290950004526,9.694837893230591,7.52438683263782,0.0009266919439778906,0.0375595311966175,0.00023391752348965832,0.21465250115412485,0.02591317669157428,0.6638496605642249,0.04477361360811497,0.0,0.111384748807182,0.0,0.024052381285735547,0.0011365399498132357,0.22000034563102774,0.013425279298193682,0.014069892522188158,0.0,0.0057420314934268244,13.356739417372996,2.968704535956532,41.62626070203117,0.0028410478723278143,2.0368951119309832e-05,0.0010081961935102374,2.3738091110245088,0.899508702608551,339.5125626820314,0.028400619530167797,0.021571125620120167,0.005540066171115335,144.02892017460164,0.400328936777051,0.0019317760777469923,0.11319922932278184,0.0006215887309971681,0.04568268377284019,0.3252795877858692,0.0029775493733016157,48.95261759731242,0.009282028750917274,3.591751330926705,0.03876787060390513,0.3815119837480969,0.0017989989058068236,0.02552167208386946,9.356283746802157,0.003821389251011566,0.004786397204606862,0.024315136140001012,0.0009028099848241066,0.07726454931234963,0.0007743350914145024,0.0008019413372864579,0.0005406209737987454,0.0,2.660939178719248,0.018245182739471264,0.01998057159404706,0.0033728639971609504,0.03421452796876466,0.28243963728347776,0.0016286362160985771,0.006613448943261652,0.025814038112852614,0.05144707195191288,0.006492040235179442,0.0014464660081204338,0.05722389896939836,0.7301171414189838,0.022043502704817853,0.00022935048719938686,0.2163308742688183,3.4715498932062445,28.457963432012438,0.8202674255855396
5,6,sherpa_2025_a,900.0,hot_p75_sf,1.0,2.0,2.0,0.7290135727448244,535.7209885986852,181.57776611965213,693.7903800568496,402.77847994270746,7.379999726367893,4.131013413946481,5335.002963556257,3063.211583407772,1918.8018619329227,1101.723116160993,20.92002849238519,12.01170346874152,7.524155074905651,4.320162357593851,0.0008035694560896532,0.015518664681468916,0.00020283868694655237,0.18613326113561104,0.022470290623461196,0.5756490213727619,0.038824885193023365,0.0,0.0599093910469735,0.0,0.020856724905229777,0.0009855365585409396,0.1907705783212015,0.011641564873427414,0.012200533256782432,0.0,0.004979131580896464,6.767934436251312,0.1490241053695968,36.09569705310327,0.002463579518875796,1.766268400025181e-05,0.0008742448578683329,2.0584192067306217,0.7799978445915012,294.40411897711857,0.024627245911410026,0.018705134747793926,0.004803999849954507,124.89289649921248,0.347140285478255,0.001675115729849476,0.09815931143871687,0.0005390029790641723,0.03961317414121455,0.282062170857065,0.002581945106928816,23.349347945906423,0.008048796413148781,4.6638041681240825,0.033617079437648974,0.33082339742392014,0.0015599796476482163,0.022130802245781435,8.113185714299949,0.0033136704186299414,0.004150465128492297,0.021084569526842296,0.0007828605106280323,0.06699899817777878,0.0006714550960355915,0.0006953935106556433,0.0004687927899764727,0.0,2.3074004931482275,0.015821084520578337,0.017325905499154564,0.002924737292987261,0.029668704696196646,0.24491403770685855,0.0014122517486452526,0.005734770443132556,0.022384323831261724,0.04461169204551779,0.005629492383738423,0.00125428510623293,0.04962099613468291,0.6331120476707014,0.019114750693509746,0.000198878437921443,0.2131134365000484,3.0103115470035764,24.676970966553547,0.6864831212401626
6,4,sherpa_2025_a,900.0,hot_p75_sf,1.0,2.0,2.0,0.7161271118791267,639.4555266958421,500.72847635477297,856.6684803291067,518.8294337036278,9.110946233882082,5.597673008060188,3590.711457736327,2243.520982527999,1291.1792959125291,806.7448127429581,26.04045278446525,16.270397358329735,9.363852787181624,5.850651173901125,0.0009557087362286903,0.01845680332706518,0.00024124200302898073,0.22137374986312666,0.02672457606706687,0.6846362745102457,0.3134103812199928,0.0,0.3332277846512637,0.0,0.024805515005566246,0.001172127551305595,0.2268890472818451,0.013845654745327104,0.014510452247521385,0.0,0.005921827310175923,6.86393192131385,0.1622281943443265,42.92967179437717,0.002930007419695887,2.1006748422757425e-05,0.0010397650656529648,2.4481383703487882,0.9276743269252348,350.1434584850018,0.029289906290516005,0.022246565689285007,0.005713538003030572,148.53878699924852,0.5978506593577684,0.001992264296606901,0.11674374974464942,0.0006410520609527087,0.04711311052156685,0.3597183101483881,0.0030707830872052006,21.81143488220993,0.009572669779666459,12.77153903641018,0.03998177912510216,0.39345797512694625,0.0018553295751823826,0.02632081257663319,9.649249865138207,0.003941045474125001,0.004936269979716688,0.0250764973005348,0.0009310789796522451,0.07968387473145741,0.0007985812506976294,0.0008270519097184168,0.0005575490226342681,0.0,2.744259121061114,0.0520275065408448,0.020606207868069232,0.0034784758938994804,0.03528586117337543,0.2912834524603597,0.0016796324495737527,0.00682053078453044,0.0266223332382635,0.05305799455509482,0.006695320498930746,0.001491758085955175,0.059015706914817806,0.7529787380358287,0.02273373395439576,0.00023653196264322978,1.4480398388689508,3.5802518655219275,29.349045757863824,1.0913200750058325
7,3,sherpa_2025_a,900.0,hot_p75_sf,1.0,2.0,2.0,0.7093107416040713,686.6583085307913,136.0625779529653,664.5086696032583,309.4698130227052,7.221682882015452,3.177480538660698,4960.890141092564,2394.643290136496,1787.4132712753965,862.7921754013878,22.675377140857115,10.945503362771364,8.169959196842154,3.943674908128141,0.0010761672754748396,0.02078311832624055,0.00027164840007036186,0.24927593127582615,0.030092969880975838,0.7709285541726298,0.05199559366295504,0.0,0.0882127170311622,0.0,0.027932028334941048,0.0013198637467468932,0.2554863826105677,0.01559077570352825,0.016339364985553714,0.0,0.006668220683398215,2.7015974659955653,1.7469346253290103,48.34057300165657,0.0032993086517320146,2.3654461196946407e-05,0.0011708181535026944,2.7567043180959665,1.0445993795919386,394.2759100749446,0.0329816370372023,0.025050546342166195,0.0064336783718298525,167.260772710011,0.4649019601225507,0.0022433713942656783,0.1314582553542261,0.0007218509402721699,0.053051296767687266,0.37774715754240923,0.0034578278331663863,8.885413390425795,0.010779219196484235,2.708911235003093,0.04502112482458475,0.44304983417551574,0.002089177275820299,0.029638315613451965,10.865451516869806,0.004437779011153323,0.00555844266532768,0.02823716552478091,0.001048433158347193,0.08972731452410954,0.0008992352755922818,0.0009312944065679794,0.0006278230907459267,0.0,3.090148441211518,0.02118812915864284,0.023203436087395845,0.003916906672125422,0.03973332841089383,0.3279971266791481,0.0018913350987977016,0.007680197693540815,0.029977840257965013,0.059745480268218513,0.007539205771203709,0.001679780851815707,0.06645410899073724,0.847884974035225,0.025599117810321727,0.0002663447012161357,0.2619967231009164,4.031510594782799,33.04823050552182,0.874237377958883
8,1,sherpa_2025_a,900.0,hot_p75_sf,1.0,2.0,2.0,0.7794019077513442,203.55528095879941,42.00947905443584,188.48236549368605,111.7329626038381,2.0621254525618986,1.1394763575995734,1614.3280541386075,973.46764724781,581.7617965655535,350.81239275341443,6.639863301560598,4.003952040383912,2.3928338440025128,1.4429200597761889,0.00032166202201501433,0.006211989545627224,8.119460202431982e-05,0.07450756208738911,0.00899466631345075,0.23042740958171543,0.015541271486923417,0.0,0.022,0.0,0.00834876967359325,0.00039450190619817293,0.07636384073429127,0.004660019452242398,0.004883769744230074,0.0,0.0019931040435305987,0.5585201110594904,0.0261973977470773,14.44880067572804,0.0009861499381678257,7.070222252324349e-06,0.00034995278452542677,0.8239677095412675,0.31222650631790955,117.84746605545872,0.009858077178634496,0.0074875064245441166,0.0019230003004541642,49.99356473644578,0.13895730518824853,0.00067053458626285,0.03929233790271953,0.00021575831037877913,0.015856816851528434,0.11290708914364896,0.0010335306768228334,2.08538175538682,0.003221864780226019,0.4916591716201361,0.013456631115340826,0.13242579361227297,0.0006244465913458155,0.008858772001904288,3.2476392700942696,0.0013264340985963594,0.0016613959072440023,0.008439973938685367,0.0003133724071964038,0.026819129402599104,0.0002687777668082462,0.00027836011067680226,0.00018765376855372712,0.0,0.9236328018690814,0.006333045636308872,0.006935412681336823,0.0011707474747771405,0.011876130272029942,0.09803700724515874,0.0005653123692307062,0.002295579856290794,0.00896025453734917,0.01785768107551289,0.0022534379440990056,0.0005020796651698373,0.019862862917602666,0.2534293705074614,0.007651472205411033,7.9609348006206e-05,0.0567668812345604,1.2050021211810271,9.877981695488716,0.2365065696879306
9,1,sherpa_2025_a,900.0,hot_p75_sf,1.0,2.0,2.0,0.6793713049500869,884.5453141866807,229.23837446250224,927.9499402778519,520.5797771047012,10.015360054453199,5.292195432026634,6281.729155632214,3660.343856666132,2262.7469859104613,1318.4955644961408,30.06836067480793,17.520739361609408,10.830949695942886,6.311160382624688,0.0013734207264864023,0.026523725559006284,0.0003466817394246512,0.3181296610950738,0.038405096956536794,0.9838705181531415,0.06635755207401033,0.0,0.0992698568463318,0.0,0.035647271128075114,0.0016844297975148418,0.32605553170864143,0.019897180467393742,0.02085254127327376,0.0,0.008510082683311018,3.7059675351066814,2.2294640219244566,61.69296019655483,0.004210626905901114,3.0188176152652482e-05,0.001494215588610633,3.518147163132245,1.333133306969756,503.1807965098062,0.04209165706173181,0.03196988083563368,0.00821075628741788,213.46069259233025,0.5933148148690329,0.0028630240300995067,0.16776898599855009,0.0009212369353696027,0.0677048561206006,0.48208655602462486,0.004412931449338901,15.676359234161628,0.013756600295487868,4.944726263112172,0.057456630928062274,0.5654268058416196,0.0026662391965505197,0.03782486039979215,13.866651268798035,0.005663559757283107,0.0070937674258669085,0.03603669176044193,0.0013380260325926445,0.11451133695270739,0.00114761746954368,0.0011885318106118355,0.0008012371915107249,0.0,3.943693525903698,0.027040606423486553,0.029612571181437182,0.004998814710135371,0.05070826628484343,0.41859482468500325,0.0024137500596957163,0.009801582835872645,0.03825816681465354,0.0762480729383358,0.009621646841889273,0.002143761374662441,0.08480972496380164,1.0820834488788436,0.032669975924467756,0.00033991307984965874,0.2899569738877036,5.145073945387472,42.17664463914935,3.312786697906138
